,id,attributes.channels
164,6434824e39530e03d696edc5,chat
165,6434824d54e9f311ca1b7bc9,email
166,6434824954e9f35d5e1b7b09,chat
167,64348242b57357e087fcb270,voice
168,64348242b57357e087fcb270,email
169,643482417ed41a3f41d349c9,chat
170,64348240fd27bde52455714c,chat
171,6434823efd27bd7a575570e6,chat
172,64348234ead6580fcba6b081,voice
173,6434822da0fa004e16c78d14,
174,6434822d54e9f3151b1b7639,chat
175,64348229b573575e01fcae4b,chat
176,6434820ff92dbf0a9fe95654,voice
177,6434820ff92dbf4f8fe95650,sms
178,6434820ff92dbf4f8fe95650,voice
179,643482033c36684970f7fef8,voice
180,643481fc1e90c604edea9e65,chat
181,643481fa7134533f7b94b95a,voice
182,643481f3ed8c197eb5289f3d,chat
183,643481f0c54b38cb26ae878e,email
184,643481eefde465be2fba23a7,email
185,643481ed7134531f4494b72e,voice
186,643481ed7134534f4c94b72a,chat
187,643481ebb57357eb74fca36f,email
188,643481ea1e90c63009ea9b0f,email
189,643481e5a737f4d71ddeee86,email
190,643481e5713453881e94b564,email
191,643481e0c54b38e387ae84b4,email
192,643481dd4093dc6f3ac887af,voice
193,643481dcfde4659037ba20ce,email
194,643481db713453c6f094b3a6,chat
195,643481d0a737f41a27deea8e,voice
196,643481cca737f41c13dee9fb,chat
197,643481c7713cb7c027444b94,email
198,643481c2ed8c190f3b2896cb,chat
199,643481b07ed41a5c3ad330f6,chat
200,643481a76cd79d323fffc620,email
201,6434819e39530e074696cecd,voice
202,643481894a42a626a84d4e33,chat
203,643481834093dc4991c87788,chat
204,6434817d09d3221114714077,chat
205,64348169fd27bd72f7554ad7,voice
206,6434815e713453e906949d3f,chat
207,643481583c36684f98f7e058,email
208,64348156c54b38615dae6c88,email
209,6434814ab573576b71fc865e,voice
210,643481404093dcdaf3c86b95,email
211,6434813cb57357a857fc83c5,email
212,64348138a737f455dcdecf1a,email
213,6434813039530e2efb96bb16,chat
214,64348127713cb7737c442edc,chat
215,643481176ea24a02eb46777b,chat
216,643481146ea24a34bf4676eb,chat
217,6434810e897e51b85f5b3d81,voice
218,6434810a6ea24a8d2f467520,chat
219,643480ff23dba58f5cfd975d,chat
220,643480fe713cb7b3fd442807,voice
221,643480efe94dab71eeefc5a0,email
222,643480eeb57357fd80fc75ba,voice
223,643480eec54b38d656ae59cb,chat
224,643480ede94dab2a1defc562,email
225,643480ece94dab5139efc531,email
226,643480ea54e9f3f1161b3e5d,voice
227,643480eaa737f403b4dec1c5,email
228,643480e7713cb74a2e442408,email
229,643480dc23dba55159fd912d,chat
230,643480d9b573572956fc72a5,voice
231,643480d1c54b38d4c2ae5523,email
232,643480cff92dbf428ce91d41,email
233,643480ca713cb766b0441ecd,email
234,643480c154e9f344d51b375b,email
235,643480c0fd27bdf019552cdf,voice
236,643480b96cd79d6941ff9b1b,voice
237,643480b8e94dab92e4efbb91,email
238,643480b43c36683067f7c458,chat
239,643480ad713cb76ce0441911,voice
240,643480ad713cb76ce0441911,email
241,643480a73c36681d35f7c1b4,chat
242,643480a45edacd1cf70975ac,chat
243,643480a14eabdb6bc4165831,chat
244,643480a04093dc828dc84f3b,
245,6434809ef92dbf76cde913e2,voice
246,64348098ead6587827a66716,email
247,64348092ead6583709a66634,chat
248,6434809103e05960c0cbdca9,email
249,6434808ff92dbf6570e91126,email
250,6434808d03e059a840cbdbda,voice
251,6434808d5edacd6781097152,
252,6434808a713453906e947751,email
253,643480891e90c6bbc2ea5c45,
254,64348086ed8c194b16285d2c,email
255,64348081a0fa00809dc73e9e,voice
256,6434808023dba5bbd9fd7f96,chat
257,64348079c54b38f1e1ae43f2,email
258,6434807754e9f3e5641b2994,voice
259,6434807754e9f3e5641b2994,email
260,64348076fd27bd08b2551f30,chat
261,64348068f593ce22f4457358,
262,6434806509d32276c2710f46,chat
263,6434806509d32223c6710f42,chat
264,643480644a42a624e74d1805,chat
265,64348060fde4651685b9dc1c,voice
266,64348060fde4651c98b9dc01,voice
267,64348060713cb77524440abe,voice
268,643480564093dc2869c84133,chat
269,64348053fd27bde23c551877,email
270,6434805223dba574a2fd7706,email
271,6434803a54e9f3e3871b1e94,email
272,64348037b573574f6afc5468,chat
273,643480374eabdb3013164493,voice
274,64348036f92dbf5003e900b2,chat
275,64348031b57357d758fc52c4,voice
276,6434802bc54b3870b9ae34bd,email
277,6434802a54e9f315de1b1b46,chat
278,64348025a0fa00450ac72dfd,email
279,6434801cf593ce66d8456555,email
280,6434801c4a42a691e04d0ab8,voice
281,64348014ead658018ca64e70,voice
282,643480143c36688c30f7a6b5,voice
283,64348012f26ac446acde8476,chat
284,6434800ec54b3817c4ae2fc9,voice
285,6434800c54e9f34c8c1b15fb,chat
286,6434800ba737f42eb4de98ab,voice
287,64348009f92dbf3e15e8f87e,voice
288,64348007a737f462cdde981b,voice
289,643480074a42a6dce64d06bd,voice
290,643480016ea24ad40e4643a7,voice
291,643480016ea24ad40e4643a7,email
292,64347fffa0fa00d7efc7264e,voice
293,64347fff23dba50566fd6746,email
294,64347ffbfde465bbb6b9c8d3,chat
295,64347ffaead658e000a64974,chat
296,64347fefed8c1934a428408b,chat
297,64347fd9ead6585997a64379,email
298,64347fcd4a42a6a33a4cfc2f,voice
299,64347fc71e90c6016dea3777,email
300,64347fc523dba5e25bfd5c35,email
301,64347fc4f593ce5476455503,email
302,64347fc17ed41a3061d2d520,chat
303,64347fbd4093dc439dc825e7,voice
304,64347fbd4093dc439dc825e7,email
305,64347fba09d322730c70ef2b,voice
306,64347fb26cd79d6c21ff6ac8,email
307,64347fb21e90c65d09ea33f2,chat
308,64347fae03e0596e85cbb26f,voice
309,64347fad7ed41a50e5d2d1b1,voice
310,64347fad7ed41a50e5d2d1b1,email
311,64347fac7ed41a20f7d2d1aa,voice
312,64347fac7ed41a55d9d2d1a1,voice
313,64347fac7ed41a2727d2d19d,voice
314,64347fac7ed41a3657d2d198,voice
315,64347fac7ed41a1d3ad2d194,voice
316,64347fac7ed41af539d2d18e,voice
317,64347facfd27bd177254f8dd,chat
318,64347faafd27bd22a054f89f,chat
319,64347fa839530e152a967321,voice
320,64347fa7b573576cdcfc39a0,email
321,64347fa7b573574e4cfc3999,email
322,64347f926cd79d36edff6523,voice
323,64347f8ea0fa003a37c711a6,voice
324,64347f8ea0fa003c91c711a2,voice
325,64347f8cf26ac4c67bde6c10,chat
326,64347f8a09d322de9c70e72c,voice
327,64347f86ed8c19362c282e3e,chat
328,64347f8309d322bb5070e615,voice
329,64347f7ff92dbf67afe8df91,voice
330,64347f7ff92dbf67afe8df91,sms
331,64347f7ff92dbf67afe8df91,email
332,64347f6ffde4658b86b9af90,chat
333,64347f69e94dabf090ef7db1,voice
334,64347f63f593ce6c7b454478,email
335,64347f60e94dabeafdef7bf0,email
336,64347f5ab57357b4acfc2bb7,email
337,64347f563c36684093f784a0,voice
338,64347f563c36684093f784a0,email
